"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.DD.AAD5.01A",0,0,0,0,0.181688048519142,0.00625158472919326,0,0.71620068003214,0.0958596867195242
"TCGA.2Y.A9H0.01A",0,0,0.00115360011030853,0,0.0604876782000459,0.00128401318002015,7.16906152589842e-06,0.9370675394481,0
"TCGA.DD.AAD8.01A",0,0,0,0,0.0252161322287657,0.00799284829690764,0,0.960833233925781,0.00595778554854536
"TCGA.CC.A3MB.01A",0,0,0,0,0.0737996757944596,0.0118880162849486,0,0.87852425423604,0.0357880536845514
"TCGA.DD.A4NE.01A",0,0,0,0,0.0363227113355379,0.00930313021206973,0,0.925501384467792,0.0288727739846001
"TCGA.5R.AAAM.01A",0,0,0,0,0.0668870321182186,0.0209421117601317,0,0.91217085612165,0
"TCGA.DD.AADY.01A",0,0,0,0,0.0946090172542697,0.0103046723789014,0,0.816385142347521,0.0787011680193075
"TCGA.MI.A75I.01A",0,0,0,0,0.0236673961395011,0.00527543141642475,3.06593364537361e-06,0.971054106510429,0
"TCGA.G3.A3CI.01A",0,0,0,0,0.0370113411075591,0.00805495984840477,0,0.954933699044036,0
"TCGA.CC.A5UC.01A",0,0,0,0,0.127458630690861,0.0383409971513603,0,0.795960614522712,0.0382397576350668
"TCGA.FV.A496.01A",0,0,0,0,0.0198393481340008,0.00410256495990133,0,0.976058086906098,0
"TCGA.DD.AACK.01A",0,0,0,0,0.0448033100427909,0.00602966936080399,0,0.937846223312319,0.0113207972840863
"TCGA.XR.A8TE.01A",0,0,0,0,0.161229118749494,0.0203227129883183,0,0.796358080332515,0.0220900879296722
"TCGA.DD.A3A4.01A",0,0,0,0,0.0362062164482228,0.00325342120458651,0,0.960314883282562,0.000225479064629203
"TCGA.RC.A6M4.01A",0,0,0,0,0.00995550356984839,0.00464663786999813,0,0.985397858560153,0
"TCGA.ED.A7PY.01A",0,0,0,0,0.0319492149357992,0.0053745468532384,8.294255618745e-06,0.930501232731399,0.0321667112239451
"TCGA.DD.AADL.01A",0,0,0,0,0.0447176801454632,0.00336177931929419,0,0.916567047305201,0.0353534932300419
"TCGA.UB.A7MC.01A",0,0,0,0,0.074363334686659,0.00922914769340583,0,0.909206905626616,0.00720061199331883
"TCGA.ED.A82E.01A",0,0,0.0025161567091258,0,0.44132830789728,0.0490087728347612,5.21588208271687e-06,0.0353734743848192,0.471768072291931
"TCGA.CC.A9FS.01A",0,0,0,0,0.0314776403522148,0.00447210899650818,0,0.962905744150574,0.0011445065007027
"TCGA.T1.A6J8.01A",0,0,0,0,0.0243541351553068,0.00605274629910625,0,0.969593118545587,0
"TCGA.DD.AAW0.01A",0,0,0,0,0.0725099227730145,0.0141263000540706,0,0.89163197181884,0.0217318053540745
"TCGA.BC.A216.01A",0,0,0,0,0.0576235102952833,0.00456002667743172,0,0.890851964500221,0.0469644985270636
"TCGA.DD.AACG.01A",0,0,0.00207901051695031,0,0.0128122670095259,0.0022181379742333,0,0.976705731996052,0.00618485250323886
"TCGA.CC.A123.01A",0,0,0.0057198715847026,0,0.0101279983036672,0.0124793042424299,1.31411385913424e-06,0.960707877699431,0.0109636340559097
"TCGA.DD.A1EE.01A",0,0,0,0,0.104439398789085,0.00469802245832268,0,0.873545009643396,0.0173175691091965
"TCGA.FV.A3I1.01A",0,0,0,0,0.0707335669199141,0.00965594175663118,0,0.915834810431579,0.003775680891876
"TCGA.G3.A5SJ.01A",0,0,0.0204534103115812,0.000472664805397461,0.165517628062176,0.0100694910720352,0,0.65154925963354,0.15193754611527
"TCGA.BC.A3KG.01A",0,0,0,0,0.0548380616374971,0.000917169425740324,0,0.902519770302155,0.0417249986346076
"TCGA.ZS.A9CF.01A",0,0,0,0,0.0657713367208809,0.00261318033774118,4.688133381189e-06,0.905441731275545,0.0261690635324515
"TCGA.RC.A6M6.01A",0,0,0,0,0.131083251015803,0.0156358898611899,0,0.751544831384242,0.101736027738766
"TCGA.DD.AACI.01A",0,0,0.00356317126722336,0,0.0523470206392643,0.0128605880334475,0,0.931229220060065,0
"TCGA.EP.A3JL.01A",0,0,0.000491445033388852,0,0.0284796219589347,0.0142992412878008,1.8023140739335e-05,0.956711668579136,0
"TCGA.CC.A5UD.01A",0,0,0.000706233760397953,0,0.386930040156515,0.0580519530149767,0,0.492813480569858,0.0614982924982517
"TCGA.ES.A2HS.01A",0,0,0,0,0.0105489197190941,0.0109928855639186,2.63010030294857e-06,0.978455564616684,0
"TCGA.BC.A10U.01A",0,0,0,0,0.0256148888389398,0.00378928629092567,1.61500412884698e-07,0.925858211463835,0.044737451905887
