"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.A4.A4ZT.01A",0,0.0141753271491878,0,0.578851764808666,0.217951007521224,0,0,0.00113697471647602,0,0.187884925804446
"TCGA.2Z.A9JQ.01A",0,0.0465161765404259,0,0.83287360756712,0.0477961555052967,0,0,0,0.000245212659813746,0.0725688477273436
"TCGA.A4.8630.01A",0,0,0,0.61169017782047,0.223176014068302,0,0,0,0,0.165133808111228
"TCGA.2Z.A9JM.01A",0,0.0968214895002435,0,0.589764306440353,0.152818064214696,0,0,0,0,0.160596139844707
"TCGA.SX.A7SM.01A",0,0.0148783497174118,0,0.709360293238092,0.124730537332914,0,0,0,0,0.151030819711583
"TCGA.IA.A40Y.01A",0,0,0,0.663412446128777,0.126483352876794,0,0,0,0,0.210104200994429
"TCGA.G7.A8LB.01A",0,0,0,0.806181698870856,0.0976467931542621,0,0,0,0,0.0961715079748821
"TCGA.BQ.5883.01A",0,0.0171661912004611,0,0.461761133866779,0.283638144874298,0,0,0,0,0.237434530058462
"TCGA.5P.A9K6.01A",0,0.0731811765515201,0,0.669860245162128,0.131677127834752,0,0,0,0,0.1252814504516
"TCGA.A4.7996.01A",0,0.0819677670523574,0,0.49874473695258,0.213179112309408,0,0,0,0,0.206108383685655
"TCGA.5P.A9KE.01A",0,0.0659698753377615,0,0.766549493682786,0.0949674516542158,0,0,0,0,0.0725131793252365
"TCGA.IZ.A6M9.01A",0,0.0509816560371231,0,0.667708286566741,0.125945547669497,0,0,0,0,0.15536450972664
"TCGA.B9.4117.01A",0,0.0651047749201623,0,0.411817008646638,0.271490462341277,0,0,0,0,0.251587754091923
"TCGA.Q2.A5QZ.01A",0,0.138293725974768,0,0.787656347906633,0.00861723703840928,0,0,0,0,0.0654326890801903
"TCGA.AL.7173.01A",0,0.00881310064785117,0,0.701851078395284,0.100431524623792,0.000540657794283411,0,0,0,0.188363638538789
"TCGA.BQ.7048.01A",0,0.0724015334803951,0,0.591504889222639,0.154792375825665,0,0,0,0,0.1813012014713
"TCGA.B1.5398.01A",0,0.353585246753839,0,0.358275776366024,0.130141020127286,0,0,0,0,0.157997956752851
"TCGA.F9.A7VF.01A",0,0,0,0.823312587984111,0.07415243382264,0,0,0,0,0.102534978193249
"TCGA.5P.A9K0.01A",0,0.0485513796258225,0,0.668799643483063,0.151901989673553,0,0,0,0,0.130746987217561
"TCGA.KV.A6GE.01A",0,0.0519598963184972,0,0.733466049295386,0.114096100499182,0,0,0.000565331295139636,0,0.0999126225917958
"TCGA.B9.4115.01A",0,0.115344258162324,0,0.668866960257857,0.104005297973305,0,0,0,0,0.111783483606514
"TCGA.AL.3473.01A",0,0.244590361323785,0.00532808503795566,0.609534599787644,0.0934445550321949,0,0,0,0,0.0471023988184207
"TCGA.PJ.A5Z9.01A",0,0.00250449209173261,0,0.759864258274424,0.108389954109369,0,0,0,0,0.129241295524474
"TCGA.A4.A48D.01A",0,0.208545756387487,0,0.647955553704375,0.0925521448151722,0,0,0,0,0.0509465450929653
"TCGA.2Z.A9J7.01A",0,0,0,0.784609931660524,0.0782287469352229,0,0,0,0,0.137161321404253
"TCGA.A4.7287.01A",0,0.0304294479192076,0,0.445484522908057,0.234792699903232,0,0,0.0617069116894639,0,0.227586417580039
"TCGA.G7.6796.01A",0,0.0291755296108105,0,0.750251208668505,0.0986396814065094,0,0,0.000934563405596293,0,0.120999016908579
"TCGA.P4.AAVK.01A",0,0.0544306905624753,0,0.726978667017505,0.108360820162608,0,0,0,0,0.110229822257412
